algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=1,streaming,50,10000000,1,100000,21041998,1,1.56,0.2514285714,0.5014265364,nan,0.5014265364,0.56,0.56,0.56,0.56,0.7483314774,0.56
Probabilistic Counting,L=1,streaming,50,10000000,102,100000,21041998,101.94,2,0,0,nan,0,-99.94,99.94,-0.980380616,0.9803805086,99.94028217,99.94
Probabilistic Counting,L=1,streaming,50,10000000,203,100000,21041998,202.82,2,0,0,nan,0,-200.82,200.82,-0.9901390395,0.990139004,200.8203675,200.82
Probabilistic Counting,L=1,streaming,50,10000000,304,100000,21041998,303.58,2,0,0,nan,0,-301.58,301.58,-0.9934119507,0.9934119275,301.5805365,301.58
Probabilistic Counting,L=1,streaming,50,10000000,405,100000,21041998,404.32,2,0,0,nan,0,-402.32,402.32,-0.995053423,0.9950534019,402.320867,402.32
Probabilistic Counting,L=1,streaming,50,10000000,506,100000,21041998,504.82,2,0,0,nan,0,-502.82,502.82,-0.9960381918,0.9960381708,502.82134,502.82
Probabilistic Counting,L=1,streaming,50,10000000,607,100000,21041998,605.08,2,0,0,nan,0,-603.08,603.08,-0.9966946519,0.9966946383,603.0812549,603.08
Probabilistic Counting,L=1,streaming,50,10000000,708,100000,21041998,705.44,2,0,0,nan,0,-703.44,703.44,-0.99716489,0.9971648802,703.4412271,703.44
Probabilistic Counting,L=1,streaming,50,10000000,809,100000,21041998,805.7,2,0,0,nan,0,-803.7,803.7,-0.9975176865,0.9975176773,803.7014993,803.7
Probabilistic Counting,L=1,streaming,50,10000000,910,100000,21041998,905.86,2,0,0,nan,0,-903.86,903.86,-0.9977921533,0.9977921467,903.86135,903.86
Probabilistic Counting,L=1,streaming,50,10000000,1011,100000,21041998,1005.92,2,0,0,nan,0,-1003.92,1003.92,-0.9980117703,0.9980117655,1003.921212,1003.92
Probabilistic Counting,L=1,streaming,50,10000000,1112,100000,21041998,1105.9,2,0,0,nan,0,-1103.9,1103.9,-0.9981915182,0.9981915133,1103.901508,1103.9
Probabilistic Counting,L=1,streaming,50,10000000,1213,100000,21041998,1205.92,2,0,0,nan,0,-1203.92,1203.92,-0.9983415152,0.9983415099,1203.921908,1203.92
Probabilistic Counting,L=1,streaming,50,10000000,1314,100000,21041998,1305.76,2,0,0,nan,0,-1303.76,1303.76,-0.998468325,0.9984683195,1303.762325,1303.76
Probabilistic Counting,L=1,streaming,50,10000000,1415,100000,21041998,1405.64,2,0,0,nan,0,-1403.64,1403.64,-0.9985771606,0.9985771561,1403.642234,1403.64
Probabilistic Counting,L=1,streaming,50,10000000,1516,100000,21041998,1504.76,2,0,0,nan,0,-1502.76,1502.76,-0.9986708844,0.9986708797,1502.762683,1502.76
Probabilistic Counting,L=1,streaming,50,10000000,1617,100000,21041998,1604.2,2,0,0,nan,0,-1602.2,1602.2,-0.9987532727,0.9987532684,1602.202759,1602.2
Probabilistic Counting,L=1,streaming,50,10000000,1718,100000,21041998,1703.48,2,0,0,nan,0,-1701.48,1701.48,-0.9988259328,0.9988259286,1701.483071,1701.48
Probabilistic Counting,L=1,streaming,50,10000000,1819,100000,21041998,1802.54,2,0,0,nan,0,-1800.54,1800.54,-0.9988904546,0.9988904498,1800.543857,1800.54
Probabilistic Counting,L=1,streaming,50,10000000,1920,100000,21041998,1901.64,2,0,0,nan,0,-1899.64,1899.64,-0.9989482762,0.9989482717,1899.644072,1899.64
Probabilistic Counting,L=1,streaming,50,10000000,2021,100000,21041998,2000.62,2,0,0,nan,0,-1998.62,1998.62,-0.9990003099,0.9990003059,1998.624042,1998.62
Probabilistic Counting,L=1,streaming,50,10000000,2122,100000,21041998,2099.72,2,0,0,nan,0,-2097.72,2097.72,-0.999047492,0.9990474881,2097.724386,2097.72
Probabilistic Counting,L=1,streaming,50,10000000,2223,100000,21041998,2198.86,2,0,0,nan,0,-2196.86,2196.86,-0.9990904378,0.9990904337,2196.864962,2196.86
Probabilistic Counting,L=1,streaming,50,10000000,2324,100000,21041998,2297.72,2,0,0,nan,0,-2295.72,2295.72,-0.9991295719,0.999129568,2295.725123,2295.72
Probabilistic Counting,L=1,streaming,50,10000000,2425,100000,21041998,2396.78,2,0,0,nan,0,-2394.78,2394.78,-0.9991655471,0.9991655436,2394.785047,2394.78
Probabilistic Counting,L=1,streaming,50,10000000,2526,100000,21041998,2495.08,2,0,0,nan,0,-2493.08,2493.08,-0.9991984225,0.999198419,2493.085446,2493.08
Probabilistic Counting,L=1,streaming,50,10000000,2627,100000,21041998,2593.8,2,0,0,nan,0,-2591.8,2591.8,-0.9992289305,0.999228927,2591.805965,2591.8
Probabilistic Counting,L=1,streaming,50,10000000,2728,100000,21041998,2691.98,2,0,0,nan,0,-2689.98,2689.98,-0.9992570524,0.9992570493,2689.985684,2689.98
Probabilistic Counting,L=1,streaming,50,10000000,2829,100000,21041998,2790.26,2,0,0,nan,0,-2788.26,2788.26,-0.9992832209,0.9992832179,2788.265802,2788.26
Probabilistic Counting,L=1,streaming,50,10000000,2930,100000,21041998,2888.28,2,0,0,nan,0,-2886.28,2886.28,-0.9993075464,0.9993075434,2886.286154,2886.28
Probabilistic Counting,L=1,streaming,50,10000000,3031,100000,21041998,2986.48,2,0,0,nan,0,-2984.48,2984.48,-0.9993303153,0.9993303125,2984.486241,2984.48
Probabilistic Counting,L=1,streaming,50,10000000,3132,100000,21041998,3084.3,2,0,0,nan,0,-3082.3,3082.3,-0.9993515546,0.9993515521,3082.305991,3082.3
Probabilistic Counting,L=1,streaming,50,10000000,3233,100000,21041998,3182.08,2,0,0,nan,0,-3180.08,3180.08,-0.9993714803,0.9993714781,3180.085508,3180.08
Probabilistic Counting,L=1,streaming,50,10000000,3334,100000,21041998,3279.72,2,0,0,nan,0,-3277.72,3277.72,-0.9993901918,0.9993901898,3277.725638,3277.72
Probabilistic Counting,L=1,streaming,50,10000000,3435,100000,21041998,3377.38,2,0,0,nan,0,-3375.38,3375.38,-0.999407825,0.9994078227,3375.38647,3375.38
Probabilistic Counting,L=1,streaming,50,10000000,3536,100000,21041998,3475.02,2,0,0,nan,0,-3473.02,3473.02,-0.9994244637,0.9994244616,3473.026366,3473.02
Probabilistic Counting,L=1,streaming,50,10000000,3637,100000,21041998,3572.6,2,0,0,nan,0,-3570.6,3570.6,-0.9994401836,0.9994401816,3570.606391,3570.6
Probabilistic Counting,L=1,streaming,50,10000000,3738,100000,21041998,3669.16,2,0,0,nan,0,-3667.16,3667.16,-0.9994549161,0.999454914,3667.167054,3667.16
Probabilistic Counting,L=1,streaming,50,10000000,3839,100000,21041998,3766,2,0,0,nan,0,-3764,3764,-0.9994689326,0.9994689304,3764.007625,3764
Probabilistic Counting,L=1,streaming,50,10000000,3940,100000,21041998,3863.22,2,0,0,nan,0,-3861.22,3861.22,-0.9994822972,0.9994822951,3861.227787,3861.22
Probabilistic Counting,L=1,streaming,50,10000000,4041,100000,21041998,3960.5,2,0,0,nan,0,-3958.5,3958.5,-0.9994950133,0.9994950111,3958.508429,3958.5
Probabilistic Counting,L=1,streaming,50,10000000,4142,100000,21041998,4057.8,2,0,0,nan,0,-4055.8,4055.8,-0.9995071221,0.9995071199,4055.809049,4055.8
Probabilistic Counting,L=1,streaming,50,10000000,4243,100000,21041998,4154.44,2,0,0,nan,0,-4152.44,4152.44,-0.9995185873,0.9995185852,4152.44921,4152.44
Probabilistic Counting,L=1,streaming,50,10000000,4344,100000,21041998,4250.72,2,0,0,nan,0,-4248.72,4248.72,-0.9995294915,0.9995294893,4248.730046,4248.72
Probabilistic Counting,L=1,streaming,50,10000000,4445,100000,21041998,4346.98,2,0,0,nan,0,-4344.98,4344.98,-0.9995399105,0.9995399082,4344.990907,4344.98
Probabilistic Counting,L=1,streaming,50,10000000,4546,100000,21041998,4443.24,2,0,0,nan,0,-4441.24,4441.24,-0.999549878,0.9995498757,4441.251229,4441.24
Probabilistic Counting,L=1,streaming,50,10000000,4647,100000,21041998,4539.74,2,0,0,nan,0,-4537.74,4537.74,-0.9995594461,0.9995594439,4537.751357,4537.74
Probabilistic Counting,L=1,streaming,50,10000000,4748,100000,21041998,4636.4,2,0,0,nan,0,-4634.4,4634.4,-0.9995686308,0.9995686287,4634.41141,4634.4
