algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
HyperLogLog++,k=11,merge,25,10000000,0,21041998,203221,203221,0,0
HyperLogLog++,k=11,merge,25,10000000,1,21041998,196709,196709,0,0
HyperLogLog++,k=11,merge,25,10000000,2,21041998,200232,200232,0,0
HyperLogLog++,k=11,merge,25,10000000,3,21041998,196153,196153,0,0
HyperLogLog++,k=11,merge,25,10000000,4,21041998,193584,193584,0,0
HyperLogLog++,k=11,merge,25,10000000,5,21041998,192022,192022,0,0
HyperLogLog++,k=11,merge,25,10000000,6,21041998,200955,200955,0,0
HyperLogLog++,k=11,merge,25,10000000,7,21041998,204812,204812,0,0
HyperLogLog++,k=11,merge,25,10000000,8,21041998,198299,198299,0,0
HyperLogLog++,k=11,merge,25,10000000,9,21041998,198071,198071,0,0
HyperLogLog++,k=11,merge,25,10000000,10,21041998,196022,196022,0,0
HyperLogLog++,k=11,merge,25,10000000,11,21041998,193160,193160,0,0
HyperLogLog++,k=11,merge,25,10000000,12,21041998,197994,197994,0,0
HyperLogLog++,k=11,merge,25,10000000,13,21041998,207569,207569,0,0
HyperLogLog++,k=11,merge,25,10000000,14,21041998,196213,196213,0,0
HyperLogLog++,k=11,merge,25,10000000,15,21041998,197399,197399,0,0
HyperLogLog++,k=11,merge,25,10000000,16,21041998,204091,204091,0,0
HyperLogLog++,k=11,merge,25,10000000,17,21041998,202275,202275,0,0
HyperLogLog++,k=11,merge,25,10000000,18,21041998,199630,199630,0,0
HyperLogLog++,k=11,merge,25,10000000,19,21041998,203969,203969,0,0
HyperLogLog++,k=11,merge,25,10000000,20,21041998,193753,193753,0,0
HyperLogLog++,k=11,merge,25,10000000,21,21041998,188184,188184,0,0
HyperLogLog++,k=11,merge,25,10000000,22,21041998,198377,198377,0,0
HyperLogLog++,k=11,merge,25,10000000,23,21041998,193245,193245,0,0
HyperLogLog++,k=11,merge,25,10000000,24,21041998,203071,203071,0,0
HyperLogLog++,k=11,merge,25,10000000,0,42,193372,193372,0,0
HyperLogLog++,k=11,merge,25,10000000,1,42,191091,191091,0,0
HyperLogLog++,k=11,merge,25,10000000,2,42,196348,196348,0,0
HyperLogLog++,k=11,merge,25,10000000,3,42,201853,201853,0,0
HyperLogLog++,k=11,merge,25,10000000,4,42,196284,196284,0,0
HyperLogLog++,k=11,merge,25,10000000,5,42,191061,191061,0,0
HyperLogLog++,k=11,merge,25,10000000,6,42,199196,199196,0,0
HyperLogLog++,k=11,merge,25,10000000,7,42,196096,196096,0,0
HyperLogLog++,k=11,merge,25,10000000,8,42,199397,199397,0,0
HyperLogLog++,k=11,merge,25,10000000,9,42,189513,189513,0,0
HyperLogLog++,k=11,merge,25,10000000,10,42,188630,188630,0,0
HyperLogLog++,k=11,merge,25,10000000,11,42,199736,199736,0,0
HyperLogLog++,k=11,merge,25,10000000,12,42,198778,198778,0,0
HyperLogLog++,k=11,merge,25,10000000,13,42,200963,200963,0,0
HyperLogLog++,k=11,merge,25,10000000,14,42,200422,200422,0,0
HyperLogLog++,k=11,merge,25,10000000,15,42,191123,191123,0,0
HyperLogLog++,k=11,merge,25,10000000,16,42,192165,192165,0,0
HyperLogLog++,k=11,merge,25,10000000,17,42,198928,198928,0,0
HyperLogLog++,k=11,merge,25,10000000,18,42,199019,199019,0,0
HyperLogLog++,k=11,merge,25,10000000,19,42,197267,197267,0,0
HyperLogLog++,k=11,merge,25,10000000,20,42,200819,200819,0,0
HyperLogLog++,k=11,merge,25,10000000,21,42,202029,202029,0,0
HyperLogLog++,k=11,merge,25,10000000,22,42,205333,205333,0,0
HyperLogLog++,k=11,merge,25,10000000,23,42,205911,205911,0,0
HyperLogLog++,k=11,merge,25,10000000,24,42,204733,204733,0,0
HyperLogLog++,k=11,merge,25,10000000,0,137357,202161,202161,0,0
HyperLogLog++,k=11,merge,25,10000000,1,137357,204174,204174,0,0
HyperLogLog++,k=11,merge,25,10000000,2,137357,199150,199150,0,0
