algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_heat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
LogLog,"k=10,L=32",streaming,50,10000000,1,100000,21041998,1,406.64,0.3575510204,0.597955701,0.040625,0.597955701,405.64,405.64,405.64,405.64,405.6404319,405.64
LogLog,"k=10,L=32",streaming,50,10000000,102,100000,21041998,101.94,463.54,19.51877551,4.41800583,0.040625,0.04333927633,361.6,361.6,3.547184618,3.547208309,361.6264924,361.6
LogLog,"k=10,L=32",streaming,50,10000000,203,100000,21041998,202.82,524.54,55.31469388,7.437384882,0.040625,0.03666987911,321.72,321.72,1.586234099,1.586245427,321.8047234,321.72
LogLog,"k=10,L=32",streaming,50,10000000,304,100000,21041998,303.58,588.8,94.7755102,9.73527145,0.040625,0.03206822403,285.22,285.22,0.9395217076,0.9395218318,285.3811837,285.22
LogLog,"k=10,L=32",streaming,50,10000000,405,100000,21041998,404.32,656.58,119.1465306,10.91542627,0.040625,0.02699699809,252.26,252.26,0.6239117531,0.6239126055,252.488772,252.26
LogLog,"k=10,L=32",streaming,50,10000000,506,100000,21041998,504.82,728.36,220.2759184,14.84169527,0.040625,0.02939997478,223.54,223.54,0.4428112991,0.4428089544,224.0139728,223.54
LogLog,"k=10,L=32",streaming,50,10000000,607,100000,21041998,605.08,801.3,239.0714286,15.46193483,0.040625,0.02555353809,196.22,196.22,0.3242876975,0.3242882893,196.8108229,196.22
LogLog,"k=10,L=32",streaming,50,10000000,708,100000,21041998,705.44,879.76,355.6963265,18.85991322,0.040625,0.0267349643,174.32,174.32,0.2471081878,0.2471155717,175.330545,174.32
LogLog,"k=10,L=32",streaming,50,10000000,809,100000,21041998,805.7,960.04,490.202449,22.14051601,0.040625,0.02747985107,154.34,154.34,0.191560134,0.1915639802,155.8940025,154.34
LogLog,"k=10,L=32",streaming,50,10000000,910,100000,21041998,905.86,1042.32,658.0179592,25.65186074,0.040625,0.02831768787,136.46,136.46,0.1506413795,0.1506465096,138.8216842,136.46
