algorithm,params,mode,pairs,sample_size,pair_index,seed,estimate_merge,estimate_serial,delta_merge_serial_abs,delta_merge_serial_rel
LogLog,"k=6,L=32",merge,25,10000000,0,21041998,195051,195051,0,0
LogLog,"k=6,L=32",merge,25,10000000,1,21041998,237036,237036,0,0
LogLog,"k=6,L=32",merge,25,10000000,2,21041998,162251,162251,0,0
LogLog,"k=6,L=32",merge,25,10000000,3,21041998,222122,222122,0,0
LogLog,"k=6,L=32",merge,25,10000000,4,21041998,203687,203687,0,0
LogLog,"k=6,L=32",merge,25,10000000,5,21041998,176936,176936,0,0
LogLog,"k=6,L=32",merge,25,10000000,6,21041998,203687,203687,0,0
LogLog,"k=6,L=32",merge,25,10000000,7,21041998,173145,173145,0,0
LogLog,"k=6,L=32",merge,25,10000000,8,21041998,201493,201493,0,0
LogLog,"k=6,L=32",merge,25,10000000,9,21041998,294365,294365,0,0
LogLog,"k=6,L=32",merge,25,10000000,10,21041998,190872,190872,0,0
LogLog,"k=6,L=32",merge,25,10000000,11,21041998,182779,182779,0,0
LogLog,"k=6,L=32",merge,25,10000000,12,21041998,210414,210414,0,0
LogLog,"k=6,L=32",merge,25,10000000,13,21041998,244864,244864,0,0
LogLog,"k=6,L=32",merge,25,10000000,14,21041998,217363,217363,0,0
LogLog,"k=6,L=32",merge,25,10000000,15,21041998,190872,190872,0,0
LogLog,"k=6,L=32",merge,25,10000000,16,21041998,242226,242226,0,0
LogLog,"k=6,L=32",merge,25,10000000,17,21041998,234482,234482,0,0
LogLog,"k=6,L=32",merge,25,10000000,18,21041998,184770,184770,0,0
LogLog,"k=6,L=32",merge,25,10000000,19,21041998,173145,173145,0,0
LogLog,"k=6,L=32",merge,25,10000000,20,21041998,142477,142477,0,0
LogLog,"k=6,L=32",merge,25,10000000,21,21041998,171280,171280,0,0
LogLog,"k=6,L=32",merge,25,10000000,22,21041998,205905,205905,0,0
LogLog,"k=6,L=32",merge,25,10000000,23,21041998,199322,199322,0,0
LogLog,"k=6,L=32",merge,25,10000000,24,21041998,175030,175030,0,0
LogLog,"k=6,L=32",merge,25,10000000,0,42,157064,157064,0,0
LogLog,"k=6,L=32",merge,25,10000000,1,42,197175,197175,0,0
LogLog,"k=6,L=32",merge,25,10000000,2,42,186782,186782,0,0
LogLog,"k=6,L=32",merge,25,10000000,3,42,258489,258489,0,0
LogLog,"k=6,L=32",merge,25,10000000,4,42,205905,205905,0,0
LogLog,"k=6,L=32",merge,25,10000000,5,42,212705,212705,0,0
LogLog,"k=6,L=32",merge,25,10000000,6,42,162251,162251,0,0
LogLog,"k=6,L=32",merge,25,10000000,7,42,192950,192950,0,0
LogLog,"k=6,L=32",merge,25,10000000,8,42,224541,224541,0,0
LogLog,"k=6,L=32",merge,25,10000000,9,42,171280,171280,0,0
LogLog,"k=6,L=32",merge,25,10000000,10,42,144028,144028,0,0
LogLog,"k=6,L=32",merge,25,10000000,11,42,205905,205905,0,0
LogLog,"k=6,L=32",merge,25,10000000,12,42,190872,190872,0,0
LogLog,"k=6,L=32",merge,25,10000000,13,42,210414,210414,0,0
LogLog,"k=6,L=32",merge,25,10000000,14,42,197175,197175,0,0
LogLog,"k=6,L=32",merge,25,10000000,15,42,169434,169434,0,0
LogLog,"k=6,L=32",merge,25,10000000,16,42,208147,208147,0,0
LogLog,"k=6,L=32",merge,25,10000000,17,42,165804,165804,0,0
LogLog,"k=6,L=32",merge,25,10000000,18,42,173145,173145,0,0
LogLog,"k=6,L=32",merge,25,10000000,19,42,275844,275844,0,0
LogLog,"k=6,L=32",merge,25,10000000,20,42,199322,199322,0,0
